title,price,mrp,discount_percentage,link
Sponsored Ad - Qubo Smart 360° 3MP [2K] Wi-Fi Security Camera [Model 2.0] by Hero Group | Indoor CCTV Cam for Home | AI Pe...,1890,3990,52.63,https://www.amazon.in/dp/B0F8W4KJMX
Sponsored Ad - Qubo Smart 360° 4MP [Ultra 2K] Wi-Fi Security Camera by Hero Group | Indoor CCTV Cam for Home | AI Person D...,2890,5490,47.36,https://www.amazon.in/dp/B0CG98L4Z8
Tapo C200 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Moti...,1199,3299,63.66,https://www.amazon.in/dp/B07XLML2YS
CP PLUS 2MP Full HD Smart Wi-Fi CCTV Home Security Camera | 360° with Pan Tilt | View & Talk | Motion Alert | Night Vision...,1099,3450,68.14,https://www.amazon.in/dp/B0BBV83YF9
Toy Imagine Kids Digital Camera for Photos & Videos | Mini Camera Toy with 2-Inch Screen & USB Rechargeable | Fun & Educat...,599,999,40.04,https://www.amazon.in/dp/B0DQY9DPXR
CP PLUS 3 MP Full HD Smart Wi-fi CCTV Camera | 360° Pan & Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Up t...,1649,4100,59.78,https://www.amazon.in/dp/B0BKQMLT5V
"Imou 360° 1080P Full HD CCTV Security Camera, Human Detection, Motion Tracking, 2-Way Audio, Night Vision, Dome Camera wit...",1199,7500,84.01,https://www.amazon.in/dp/B07YFWVRCM
Tapo C210 360° 3MP Full HD 2304 X 1296P Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vi...,1899,4499,57.79,https://www.amazon.in/dp/B095CLQ1PT
"TOYTONIC Mini HD Digital Camera for Kids – Photo & Video Camera Toy with 2-Inch Screen | Rechargeable, Classy Colours, Bes...",589,999,41.04,https://www.amazon.in/dp/B0FFZHFWSV
"Sony Alpha ZV-E10L 24.2 Mega Pixel Interchangeable-Lens Mirrorless vlog Camera with 16-50 mm Lens, Made for Creators | AP...",58488,69990,16.43,https://www.amazon.in/dp/B09F9Q7287
Sponsored Ad - Fujifilm GFX100S II 102MP Large Format mirrorless Camera|High Speed Recording FHD 240fps|Advance AF for Lif...,511000,549999,7.09,https://www.amazon.in/dp/B0D4CDQTDV
Sponsored Ad - Fujifilm X-M5 26.1MP APS-C X-Trans CMOS 4 with 15-45 f/3.5-5.6 Lens|Retro Style mirrorless Compact Travel C...,87997,94999,7.37,https://www.amazon.in/dp/B0DJC2HXF9
Fujifilm Instax Mini 11 Instant Camera (Lilac Purple) Gift Box with 10 Shots,1199,8499,85.89,https://www.amazon.in/dp/B08TS97385
Drumstone ( 𝟓+𝟓 Years Warranty 1080P Mini Wireless Spy Camera with Audio WiFi Hidden Camera with Live Feed Motion Detect...,889,1999,55.53,https://www.amazon.in/dp/B0FHHBV4BH
"Saneen Digital Camera, 4K Cameras for Photography and Video, 64MP WiFi Touchscreen, Vlogging Camera for YouTube with Flas...",10999,29999,63.34,https://www.amazon.in/dp/B0CFZRPQMZ
Fujifilm Instax Mini 11 Instant Camera (Blush Pink),5499,7999,31.25,https://www.amazon.in/dp/B085282C1R
Conbre Kids Instant Print Camera with 4 Games – 3-in-1 Digital Camera for Boys & Girls Ages 3-12 | Print Photos & Record V...,1749,3999,56.26,https://www.amazon.in/dp/B0FKP5PGZP
CP PLUS 2.4MP Full HD IP Indoor Wired Dome Camera CP-URC-DC24PL3 Compatible with DVR only | 30 Meters IR Black & White Nig...,735,2000,63.25,https://www.amazon.in/dp/B0FH5H1144
Canon EOS R50 RF-S18-45mm f/4.5-6.3 is STM Mirrorless Camera (Black)- 4K Video Vlogging with 24.2 MP,57990,75995,23.69,https://www.amazon.in/dp/B0BYZHDRN6
"Trueview 2MP Smart CCTV Wi-fi Home Security Camera with Pan Tilt 360� View, 2 Way Talk, Cloud Monitor, Motion Detect, Supp...",899,3500,74.31,https://www.amazon.in/dp/B0FCFG2TJM
Sponsored Ad - Fujifilm X-H2 40MP APS-C X-Trans Sensor|Pixel Shift|IBIS System|Ultra High Resolution Mirrorless Camera|8k ...,197999,244999,19.18,https://www.amazon.in/dp/B0BCM562BH
Sponsored Ad - Fujifilm X-T50 40 MP APS-C X-Trans Sensor|Retro Style mirrorless Camera|4k/6.2k vlogging|High Speed Recordi...,159999,193999,17.53,https://www.amazon.in/dp/B0DFGWL134
Sponsored Ad - Qubo Smart 360° 3MP [2K] Wi-Fi Security Camera by Hero Group | Indoor CCTV Cam for Home | AI Person Detecti...,1649,3990,58.67,https://www.amazon.in/dp/B0CYGYCRH8
