title,price,link
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win 11, Office 24, Silver, 1.59kg, fd0467tu, Iris Xe Graphics, FHD Camera, Backlit KB Laptop","₹48,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzU2MTk3OTQ4MjUzOTM0OjE3NTg1MjI5NDU6c3BfYXRmOjMwMDY0ODM0NTk2MjEzMjo6MDo6&url=%2FHP-i5-1334U-Microsoft-Graphics-fd0467tu%2Fdp%2FB0DTK9DZB4%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758522945%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=svzKpZlRby&sp_cr=ZAZ
"Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Silver, 1.62kg, 120Hz 250 nits, Backlit KB, 15 Month McAfee, Thin & Light Laptop","₹49,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzU2MTk3OTQ4MjUzOTM0OjE3NTg1MjI5NDU6c3BfYXRmOjMwMDM4NTAxNTE3NDMzMjo6MDo6&url=%2FDell-Inspiron-i5-1334U-Processor-39-62cm%2Fdp%2FB0D2Y1BLDT%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758522945%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=CFcsZ6a9zI&sp_cr=ZAZ
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop","₹26,490",https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-3
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1.35 kg)","₹22,116",https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_4?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-4
"HP Professional 15 (2025), Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Backlit/Turbo Silver/1.5 kg/MSO 2021","₹50,490",https://www.amazon.in/HP-Professional-15-Intel-1334U/dp/B0C73VYW1X/ref=sr_1_5?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-5
"Cable World® Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool",₹649,https://www.amazon.in/Cable-Educational-Laptop-Computer-Kids/dp/B0FFYH9N2K/ref=sr_1_6?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-6
"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver","₹12,190",https://www.amazon.in/Walker-Display-Resolution-Graphics-Mini-HDMI/dp/B0CGVLLWT3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-7
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","₹21,490",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-8
"ULTIMUS Pro Intel Celeron Dual Core Laptop 8GB RAM, 256GB M.2 SSD Expandable~512GB Intel HD Graphics 2.0x1 3.0x1 USB HDMI Sd Card Slot LPDDR4 Dual Speaker Dual Microphone Win 11 Home 14.1,1.2Kg Gray","₹14,990",https://www.amazon.in/ULTIMUS-Celeron-Expandable-512GB-Graphics-Microphone/dp/B0F79SS6DD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-9
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","₹33,980",https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.7Oc2KsnlMItINy-rmXsetJP838xOm9AWhIpSuT-4NoSbU51QIwoYkXd15wbw-p6tkQj8X7ws0DjCWzDiknwjllFHj0MsoS1gUE98fAMHJNBWKOwwxp2vs-krgDLvz-W6_Gph148ChkZy3M-67_-6J5xEmcnjIAvM-8psNWVwZt4xrPm2bGE2WCSpOcR9X5VyaO2-uaYzA0_kP_QVjXg06-09Id835tPM0dAuujhgRMg.nRPhynCFJWOarOm7OqsxprV59bcrswnsS6FJQPZpFFA&dib_tag=se&keywords=laptop&qid=1758522945&sr=8-10
