title,price,mrp,discount_percentage,link
"Sponsored Ad - Marshall Minor Iv Wireless in Ear Earbuds with 30+ Hours of Playtime, Water-Resistant, Wireless Charging- C...",9999,11999,16.67,https://www.amazon.in/dp/B0DWCV5YB5
"Sponsored Ad - Marshall Motif II ANC - True Wireless Active Noise Cancelling Bluetooth Headphones, Earbuds, 30 Hours Playt...",17999,19999,10.0,https://www.amazon.in/dp/B0CGZJDY84
Apple EarPods (USB-C) ​​​​​​​,1549,2000,22.55,https://www.amazon.in/dp/B0DCNWN8NZ
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalised Spatial Audio, Sweat and Water Resistant, USB-C Charg...",3833,12900,70.29,https://www.amazon.in/dp/B0DGJLL7V1
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode,...",5333,17900,70.21,https://www.amazon.in/dp/B0DGJ6G1XG
Apple EarPods with Lightning Connector,1549,2000,22.55,https://www.amazon.in/dp/B0D7MNX9Y5
"iPhonee Headphones (4 Generation) Bluetooth,Wireless Earbuds,H2 Chip|Spatial Audio,Water & Sweat Resistant,60 Hours of Bat...",4021,22999,82.52,https://www.amazon.in/dp/B0FPYDBFCX
S3E Airbuds Pro 2 for Apple iPhone 15 Plus with (C-Type) Charging Case (White) TWS in-Ear Earphone | Earbuds True Wireless...,299,499,40.08,https://www.amazon.in/dp/B0FMRCM48R
Apple EarPods with 3.5mm Headphone Plug,1549,2000,22.55,https://www.amazon.in/dp/B0D7MMHP13
"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with Up to 32Db Active Noise Cancellation,10Mins for 11Hours F...",1799,2799,35.73,https://www.amazon.in/dp/B0DFPKVGVC
"Sponsored Ad - soundcore K20i by Anker, Semi-in-Ear Earbuds, Bluetooth Wireless, 36H Playtime, Fast Charge, Clear Sound, C...",699,5598,87.51,https://www.amazon.in/dp/B0D22RLPP3
"Sponsored Ad - Sennheiser ACCENTUM Open True Wireless Earbuds-Smart Touch Controls, Lightweight & Breathable Design, Upto ...",9990,999000,99.0,https://www.amazon.in/dp/B0F4F171C1
"iPhonee Headphones (2Pro ANC Generation) Bluetooth,Wireless Earbuds,H2 Chip|Spatial Audio,Water Resistant,60 Hours of Batt...",5505,22999,76.06,https://www.amazon.in/dp/B0FPYMJX6C
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rat...",1399,2299,39.15,https://www.amazon.in/dp/B0C8J7W6PL
"Scalebee Silicone Ear Tips Ear Hooks Compatible with Apple AirPods/EarPods,Silicone Soft Covers Anti-Slip Sport Earbud Tip...",179,999,82.08,https://www.amazon.in/dp/B0FKND7JGN
