title,price,mrp,discount_percentage,link
"Sponsored Ad - boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, ...",2299,8990,74.43,https://www.amazon.in/dp/B0DV5J28LW
"Sponsored Ad - boAt Rockerz 512 ANC,(~40dB) Hybrid ANC, 80H Battery, 40mm Drivers, 40ms Low Latency, ENx Tech,Stream Ad Fr...",2559,7990,67.97,https://www.amazon.in/dp/B0FG2QT7H2
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Hea...",1299,3990,67.44,https://www.amazon.in/dp/B07PR1CL3S
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cush...",1299,4999,74.01,https://www.amazon.in/dp/B0856HY85J
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 ...",1199,2490,51.85,https://www.amazon.in/dp/B0F7LY85KB
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth N...",699,2490,71.93,https://www.amazon.in/dp/B0F7Y54PJX
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Ea...",1499,3790,60.45,https://www.amazon.in/dp/B0DGTSRX3R
"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Nec...",999,3990,74.96,https://www.amazon.in/dp/B08TV2P1N8
Boat BassHeads 100 in-Ear Headphones with Mic (Black),349,999,65.07,https://www.amazon.in/dp/B071Z8M4KX
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetoo...",1099,2999,63.35,https://www.amazon.in/dp/B0FC2Y8XYF
"Sponsored Ad - ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, M...",599,1199,50.04,https://www.amazon.in/dp/B07L8KNP5F
"boAt BassHeads 225 in-Ear Super Extra Bass Wired Headphones, with Mic (Black)",499,999,50.05,https://www.amazon.in/dp/B01M9C51T9
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Ea...",1499,3790,60.45,https://www.amazon.in/dp/B0DGTTKCJX
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Hea...",1499,3990,62.43,https://www.amazon.in/dp/B086671ZSR
