title,price,mrp,discount_percentage,link
"Sponsored Ad - Dell SmartChoice G15-5530, Intel Core i5 13th Gen - 13450HX, NVIDIA RTX 3050-6GB, 16GB RAM, 1TB SSD, FHD 1...",69990,105398,33.59,https://www.amazon.in/dp/B0CRKXDX83
"Sponsored Ad - Dell Vostro, Intel Core i3 13th Gen - 1305U, 16GB DDR4 RAM, 512GB, FHD 15.6""/39.6 cm, Windows 11, Office H&...",34990,54479,35.77,https://www.amazon.in/dp/B0FG2RJ9NC
"Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Grey, 1.62kg, 12...",49999,73163,31.66,https://www.amazon.in/dp/B0D2Y1BLDT
DELL 14 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business...,33511,44990,25.51,https://www.amazon.in/dp/B08YC6TP9H
"Dell 15, Intel Core i3 13th Gen - 1305U, 8GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Titan Grey, 1.69...",33990,49518,31.36,https://www.amazon.in/dp/B0C4ZM63RP
"Dell Inspiron 3530, Intel Core i5 13th Gen - 1334U, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Silver, 1.6...",52990,79409,33.27,https://www.amazon.in/dp/B0DSFQZTVW
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/Ms Office' 21/15.6""(39.62 C...",29989,41198,27.21,https://www.amazon.in/dp/B0DG5CY2Y2
"DeII Latitude 5320 Touch Laptop InteI Core i7 11th Gen 1185G7, 3.00GHz Quad Core 512GB SSD, 32GB RAM, 13.3"" FHD Screen 192...",41995,118999,64.71,https://www.amazon.in/dp/B0FPGCQXLJ
"Dell Inspiron 3530, Intel Core i7 13th Gen - 1355U, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, Office H&S 2024, ...",65990,81595,19.12,https://www.amazon.in/dp/B0DSFP9FCS
"Sponsored Ad - Acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 1...",30990,58999,47.47,https://www.amazon.in/dp/B0DG2GCTD7
DELL Wyse 5470 (2025) Intel Celeron Quad Core N4100 - (8 GB/256 GB SSD/16 GB EMMC Storage/Intel UHD Graphics/Windows 11 Ho...,25711,44990,42.85,https://www.amazon.in/dp/B01HZ5ZCBE
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Di...",46990,69544,32.43,https://www.amazon.in/dp/B0BQJ7WR2R
"Dell Latitude 3450 Laptop (2024) | 14"" 1366x768 HD | Core i7-1355U - 512GB SSD Hard Drive - 16GB RAM | 10 cores @ 5 GHz Wi...",87500,101000,13.37,https://www.amazon.in/dp/B0DLBK24ZJ
"Dell 15, Intel Core i3 13th Gen - 1305U, 8GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Titan Grey, 1.69...",32990,48441,31.9,https://www.amazon.in/dp/B0D82XJMG1
"Dell 15, AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD 15.6""/39.6 cm, Windows 11, Office H&S 2024, Platinum Silver, 1.63 K...",46990,65449,28.2,https://www.amazon.in/dp/B0FDQ2R315
"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 ni...",34990,53658,34.79,https://www.amazon.in/dp/B0CNZ8MDLV
"Dell 15, Intel Core i3 13th Gen - 1305U, 8GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Titan Grey, 1.69...",34990,48827,28.34,https://www.amazon.in/dp/B0C4ZWLS7B
"Dell Inspiron 3530 Laptop, 13th Generation Intel Core i7-1355U Processor, 16GB, 512GB, 15.6"" (39.62cm) FHD 120Hz Display, ...",66710,86278,22.68,https://www.amazon.in/dp/B0DFCM24S3
"Dell Latitude 5420 Intel i5 1135G7 14 inches FHD Business Laptop (8GB, 512GB NVMe, Windows 10 Pro, 3 Year ADP, 1.37Kg)",45000,98000,54.08,https://www.amazon.in/dp/B09F342ZGH
"Dell Inspiron 5430, Intel Core i5 13th Gen-1335U, 8GB RAM, 512GB SSD, FHD+ 14""/35.56 cm, Win11+ MSO'21, Platinum Silver, ...",49990,75290,33.6,https://www.amazon.in/dp/B0C2HVSHX6
DELL 15 (2025) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/UHD Graphics/Windows 11 Home) Thin and Light Business Lapt...,35600,45000,20.89,https://www.amazon.in/dp/B0BXH7V9GM
DELL 14 (2025) Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business...,30890,49427,37.5,https://www.amazon.in/dp/B0FKMQPDPM
DELL 14 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Busines...,34850,74990,53.53,https://www.amazon.in/dp/B07YV7QL9L
"Dell Vostro 13th Gen Laptop Intel, Intel Core i3-1305U, 15.6"" FHD 120Hz 250 nits Narrow Border Display, 16GB DDR4 RAM, 512...",36940,54479,32.19,https://www.amazon.in/dp/B0FKNLR2FD
