title,price,mrp,discount_percentage,link
"Sponsored Ad - HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win ...",48990,73920,33.73,https://www.amazon.in/dp/B0DTK9DZB4
"Sponsored Ad - HP 15, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Bas...",55990,72718,23.0,https://www.amazon.in/dp/B0F5W5FLPP
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1...",36990,52721,29.84,https://www.amazon.in/dp/B0F4R3GFMQ
"HP 15, Intel Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, ...",59990,78719,23.79,https://www.amazon.in/dp/B0F5B1N9SJ
"HP Laptop 15, Intel® Core™ 3 100U,15.6-inch(39.6 cm),FHD,Anti-Glare,8GB DDR4,512GB SSD,Dual Speakers,Windows 11,Natural Si...",34990,54552,35.86,https://www.amazon.in/dp/B0D2642MBF
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1....",22111,30336,27.11,https://www.amazon.in/dp/B0DV984J97
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.6...",29990,42359,29.2,https://www.amazon.in/dp/B0CJBL2QWY
"HP Smartchoice Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits,...",58990,81201,27.35,https://www.amazon.in/dp/B0F6CVT23B
"HP 15, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Off...",50990,70841,28.02,https://www.amazon.in/dp/B0F4R6H3NB
"Sponsored Ad - Acer Smartchoice Aspire Lite, AMD Ryzen 7 5700U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Ho...",41291,72990,43.43,https://www.amazon.in/dp/B0CWTLXMMC
"Sponsored Ad - Dell Vostro, Intel Core i3 13th Gen - 1305U, 16GB DDR4 RAM, 512GB, FHD 15.6""/39.6 cm, Windows 11, Office H&...",34990,54479,35.77,https://www.amazon.in/dp/B0FG2RJ9NC
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39....",44711,74990,40.38,https://www.amazon.in/dp/B0CY2PLQ8N
"HP 15, AMD Ryzen 7 5825U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge,15.6''/39.6cm, Win11, M365(1yr)* Office24, Sil...",45490,56902,20.06,https://www.amazon.in/dp/B0F66X762F
"HP OmniBook 5 Metallic(Previously Pavilion) 13th Gen Intel Core i5 1334U (16GB LPDDR5X, 512GB SSD) WUXGA, 2K, IPS, 16''/4...",59990,81202,26.12,https://www.amazon.in/dp/B0F1DH2T6B
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.5...",30989,48419,36.0,https://www.amazon.in/dp/B0D3HG5CMG
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/3...",66990,84838,21.04,https://www.amazon.in/dp/B0FDKPXD95
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39....",99990,124319,19.57,https://www.amazon.in/dp/B0FDKPZHB7
HP 255 G9 Ryzen 3 Dual Core AMD Ryzen 3 Processor 3250U DOS - (8 GB/512 GB SSD/AMD Radeon Graphics) 9H237PT Thin and Light...,23490,32342,27.37,https://www.amazon.in/dp/B0DMSNR4GG
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6' FHD, Win11,MS Office Home21, ...",32890,50903,35.39,https://www.amazon.in/dp/B0F4R5W1NC
"Sponsored Ad - ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Offi...",46990,69990,32.86,https://www.amazon.in/dp/B0DTYKLHYC
"Sponsored Ad - ASUS Vivobook Go 14, 14"" FHD (1920 x 1080), AMD Ryzen 5 7520U Processor,(8GB RAM/512GB SSD/AMD Radeon iGPU/...",34990,43990,20.46,https://www.amazon.in/dp/B0FN9G2XRY
"Sponsored Ad - HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, ...",81990,100594,18.49,https://www.amazon.in/dp/B0FDKS93JV
"Sponsored Ad - HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 1...",76990,94746,18.74,https://www.amazon.in/dp/B0FJYJP1L6
HP 15 R 3 6 GB 512 GB SSD Business Laptop,28790,78690,63.41,https://www.amazon.in/dp/B0FKL6STHN
"HP 15 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business...",33050,55000,39.91,https://www.amazon.in/dp/B0F8WC83WT
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512...",45990,63629,27.72,https://www.amazon.in/dp/B0C946F286
"HP Pavilion 13th Gen Intel Core i5-1340P (16GB RAM/512GB SSD) FHD, 15.6” (39.6cm), Windows 11/MS Office 21, Silver,1.74kg,...",54999,83705,34.29,https://www.amazon.in/dp/B0C2D3NV1S
"HP 15 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business ...",33050,55000,39.91,https://www.amazon.in/dp/B0F8WP6BR8
"HP 15 (2025), Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business...",23340,25999,10.23,https://www.amazon.in/dp/B0BB76GKSL
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz,300 nits,IPS, 15.6''/39....",72990,96958,24.72,https://www.amazon.in/dp/B0F3P3QM3V
"Sponsored Ad - HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basi...",29990,44783,33.03,https://www.amazon.in/dp/B0FJYJ8LVY
"Sponsored Ad - ASUS Vivobook 16, 16"" FHD (1920 x 1200) OLED,Intel Core i5-13420H Processor,(16GB RAM/512GB SSD/Win 11/M365...",53990,84990,36.47,https://www.amazon.in/dp/B0FN9WN6XD
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15....",65990,88473,25.41,https://www.amazon.in/dp/B0DTYZ2CG8
