title,price,mrp,discount_percentage,link
Sponsored Ad - Apple iPhone 15 (128 GB) - Black,47999,69900,31.33,https://www.amazon.in/dp/B0CHX1W1XY
Sponsored Ad - Apple iPhone 15 Plus (128 GB) - Black,68999,89900,23.25,https://www.amazon.in/dp/B0CHXCR9CX
Apple iPhone 15 (128 GB) - Blue,47999,69900,31.33,https://www.amazon.in/dp/B0CHX2F5QT
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",119900,,,https://www.amazon.in/dp/B0FQFJGP8S
Apple iPhone 15 (128 GB) - Pink,47999,69900,31.33,https://www.amazon.in/dp/B0CHX3TW6X
Apple iPhone 15 (256 GB) - Black,57999,79900,27.41,https://www.amazon.in/dp/B0CHX2WQLX
Apple iPhone 15 (128 GB) - Green,47999,69900,31.33,https://www.amazon.in/dp/B0CHX6NQMD
Apple iPhone 13 (128GB) - Midnight,43900,59900,26.71,https://www.amazon.in/dp/B09G9HD6PD
Apple iPhone 15 (256 GB) - Blue,57999,79900,27.41,https://www.amazon.in/dp/B0CHX6N27Y
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",69499,79900,13.02,https://www.amazon.in/dp/B0DGJHBX5Y
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",69499,79900,13.02,https://www.amazon.in/dp/B0DGHZWBYB
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",69499,79900,13.02,https://www.amazon.in/dp/B0DGJH8RYG
Apple iPhone 15 (256 GB) - Yellow,57999,89900,35.48,https://www.amazon.in/dp/B0CHX8JCXN
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",78499,89900,12.68,https://www.amazon.in/dp/B0DGJ54GQW
Apple iPhone 15 (256 GB) - Pink,57999,79800,27.32,https://www.amazon.in/dp/B0CHX4CRND
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",119900,,,https://www.amazon.in/dp/B0FQFTV1NP
Apple iPhone 13 (128GB) - Blue,43900,59900,26.71,https://www.amazon.in/dp/B09G9BL5CP
"Sponsored Ad - Redmi 13 5G Prime Edition, Black Diamond, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | ...",10999,19999,45.0,https://www.amazon.in/dp/B0D78Y577J
"Sponsored Ad - Lava Bold N1 5G (Champagne Gold, 4GB RAM, 128GB Storage) |Bigger 6.75"" HD+ Notch Display | Octacore 5G Proc...",7999,10499,23.81,https://www.amazon.in/dp/B0FNX18XGS
