title,price,link,mrp,discount_percentage
"Sponsored Ad - HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win ...","₹47,990",https://www.amazon.in/dp/B0DTK9DZB4,73920.0,35.08
"Sponsored Ad - HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm,...","₹61,990",https://www.amazon.in/dp/B0F8P4Y7VF,83704.0,25.94
Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS AI PC Laptop(24GB RAM/1TB SSD/Windows 11/Office Home...,"₹64,985",https://www.amazon.in/dp/B0FCYB67QJ,94890.0,31.52
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1....",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0DV984J97,30336.0,99.98
"(Refurbished) HP Pavilion Plus, 13th Gen Intel Core i5-13500H, 16GB LPDDR5x, 512GB SSD, 16-inch(40.6cm), 400 nits, WQXGA L...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0FQ2XBMVF,84990.0,99.99
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, ...","₹26,490",https://www.amazon.in/dp/B0CWTYGPH8,46990.0,43.63
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.6...","₹31,990",https://www.amazon.in/dp/B0CJBL2QWY,42359.0,24.48
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dol...","₹33,590",https://www.amazon.in/dp/B0F29HNJL1,60300.0,44.3
"(Refurbished) Lenovo Smartchoice Yoga Slim 7 2025 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (16GB RAM/...","₹78,021",https://www.amazon.in/dp/B0FPGDFDY8,89240.0,12.57
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1...","₹36,990",https://www.amazon.in/dp/B0F4R3GFMQ,52721.0,29.84
