title,price,mrp,discount_percentage,link
"Sponsored Ad - Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, WUXGA-OLED 14""(35.5cm), Windows 11, Offic...",70990,110490,35.75,https://www.amazon.in/dp/B0FD9RRL1F
"Sponsored Ad - Lenovo IdeaPad Slim 3, Intel Core i5 13th Gen 13420H, 16GB RAM, 512GB SSD, WUXGA IPS 15.3""(38.8cm), Win11, ...",53990,81390,33.67,https://www.amazon.in/dp/B0F637DPFW
"Lenovo Idea Tab with Pen|5G + Wi-Fi|11 Inch,2.5K Display with 500 Nits Brightness|8 GB RAM + 256 GB ROM(Expandable Up to 2...",18990,25000,24.04,https://www.amazon.in/dp/B0FJG2TL3C
"Lenovo Legion 5 2024 13Th Gencore Intel I7-13650HX|NVIDIA RTX 4060 8GB(24GB RAM/512GB SSD/15.6""(39.6Cm)/14Hz/FHD IPS/Windo...",115490,165090,30.04,https://www.amazon.in/dp/B0DPQWP7DX
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dol...",34990,54900,36.27,https://www.amazon.in/dp/B0F29HNJL1
"Lenovo Idea Tab with Pen| Wi-Fi| 11 Inch, 2.5K Display with 500 Nits Brightness| 8 GB RAM + 256 GB ROM (Expandable Up to 2...",15990,25000,36.04,https://www.amazon.in/dp/B0FJG1V6RJ
"Lenovo {Smartchoice} Idea Tab Pro with Pen Plus|12.7"" 3K Display|144 Hz Refresh|12 GB RAM, 256 GB ROM| AI-Enabled| MediaTe...",25990,48999,46.96,https://www.amazon.in/dp/B0DZCB3G9Q
"Lenovo Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 128 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 1...",13990,32000,56.28,https://www.amazon.in/dp/B0D6G4CVZ7
Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Wind...,57990,89390,35.13,https://www.amazon.in/dp/B0F2162VGQ
"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arct...",31990,58390,45.21,https://www.amazon.in/dp/B0B4JPC8GT
"Sponsored Ad - Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, G...",49999,73163,31.66,https://www.amazon.in/dp/B0D2Y1BLDT
Sponsored Ad - Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/W...,58985,87990,32.96,https://www.amazon.in/dp/B0FCY7BTCX
"Lenovo {Smartchoice) Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 256 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tabl...",15990,34000,52.97,https://www.amazon.in/dp/B0D6G4SKGK
"Lenovo Tab M11|8 GB RAM,128 GB ROM|11 Inch,90 Hz,72% NTSC,400 Nits FHD Display| Wi-Fi Only| Micro SD Support Upto 1TB|Quad...",11949,31000,61.45,https://www.amazon.in/dp/B0CY1S314G
Lenovo Tab| 10.1 Inch Display| Wi-Fi Only| 4 GB RAM + 64 GB ROM (Expandable up to 1 TB)| Metal Body| Dual Speakers with Do...,7990,18000,55.61,https://www.amazon.in/dp/B0FDWFRC48
"Lenovo LOQ, AMD Ryzen 7 7435HS, NVIDIA RTX 3050A 4GB, 24GB RAM, 512GB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office Home 2...",65990,93190,29.19,https://www.amazon.in/dp/B0F837CQSW
"Lenovo LOQ, AMD Ryzen 5 7235HS, NVIDIA RTX 3050A 4GB, 12GB RAM, 512GB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office Home 2...",56990,83990,32.15,https://www.amazon.in/dp/B0F832WDMW
