title,price,mrp,discount_percentage,link
"Sponsored Ad - Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512G...",107900,119900,10.01,https://www.amazon.in/dp/B0DZD8QJBH
"Sponsored Ad - Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256G...",111990,124900,10.34,https://www.amazon.in/dp/B0DZDDK21R
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight",84990,,,https://www.amazon.in/dp/B0DZDDV7GC
"2022 Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backli...",,,,https://www.amazon.in/dp/B0B3BLY13H
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Sky Blue",,,,https://www.amazon.in/dp/B0DZDDKTQZ
"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 24GB Unified Memory, 512GB) - Space Gray",124990,154900,19.31,https://www.amazon.in/dp/B0DLHH4BJ9
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (16.2″) Liq...",239990,249900,3.97,https://www.amazon.in/dp/B0DLHTDZVL
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Starlight",135990,144900,6.15,https://www.amazon.in/dp/B0DZDF3943
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12‑core CPU and 16‑core GPU: Built for Apple Intelligence, (14.2″) Liq...",,,,https://www.amazon.in/dp/B0DLHQC28P
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboar...",,,,https://www.amazon.in/dp/B0DLHFM2XL
"Apple 2024 Mac Mini Desktop Computer with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 16GB Uni...",72990,79900,8.65,https://www.amazon.in/dp/B0DLBTLQZP
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Sto...",113990,134900,15.5,https://www.amazon.in/dp/B0DLHDMN75
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Sky Blue",131990,139900,5.65,https://www.amazon.in/dp/B0DZF1485D
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Sto...",167990,174900,3.95,https://www.amazon.in/dp/B0DLHGHK9R
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Midnight",120990,124900,3.13,https://www.amazon.in/dp/B0DZDDPXY5
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (14.2″) Liq...",229990,239900,4.13,https://www.amazon.in/dp/B0DLHFY1CL
"Sponsored Ad - Lenovo Yoga Slim 7 (Smartchoice) Aura Edition Intel Core Ultra 5 226V,Copilot+ AI PC(16GB RAM/1TB SSD/14(3...",98490,139890,29.59,https://www.amazon.in/dp/B0F5Q8R92V
"Sponsored Ad - ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Quiet Blue, 1....",52990,84990,37.65,https://www.amazon.in/dp/B0DX1VZDTG
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Midnight",152990,164900,7.22,https://www.amazon.in/dp/B0DZDD4B79
"Apple 2023 MacBook Pro (16-inch, Apple M3 Max chip with 16‑core CPU and 40‑core GPU, 48GB Unified Memory, 1TB) - Silver",369990,399900,7.48,https://www.amazon.in/dp/B0CM5QYZ3R
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Starlight",120990,124900,3.13,https://www.amazon.in/dp/B0DZDDK22Z
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid ...",,,,https://www.amazon.in/dp/B0DLHXVCXJ
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Midnight",,,,https://www.amazon.in/dp/B0DZDBZBVC
