title,price,link,mrp,discount_percentage
"Sponsored Ad - Samsung Galaxy Z Fold6 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), 50MP High-Res...","₹99,999",https://www.amazon.in/dp/B0D73TQLFZ,164999,39.39
"Sponsored Ad - iQOO Z10 5G (Stellar Black, 8GB RAM, 128GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7s...","₹20,998",https://www.amazon.in/dp/B0F2HBYZ8B,25999,19.24
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 2...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0DFY3XCB6,9999,99.95
"POCO C71, Cool Blue (6GB, 128GB)","₹6,799",https://www.amazon.in/dp/B0F53SH9LJ,9999,32.0
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| ...","₹8,999",https://www.amazon.in/dp/B0DX655V11,15499,41.94
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging...","₹7,499",https://www.amazon.in/dp/B0DLW427YG,10999,31.82
"Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Red","₹1,199",https://www.amazon.in/dp/B0C5RJHD7D,1599,25.02
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERV...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0D5YCYS1G,20999,99.95
"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio, Without C...",₹949,https://www.amazon.in/dp/B0CJMGTMHS,1249,24.02
"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Di...","₹10,999",https://www.amazon.in/dp/B0D78X5CMJ,19999,45.0
