title,price,mrp,discount_percentage,link
"Sponsored Ad - Noise Airwave Max 5 Wireless Over-Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playt...",3999,5999,33.34,https://www.amazon.in/dp/B0DGV46CN1
"Sponsored Ad - soundcore by Anker Q20i Wireless Bluetooth Over-Ear Headphones with Hybrid Active Noise Cancelling, 40h Pla...",3659,5999,39.01,https://www.amazon.in/dp/B0C3HCD34R
"Noise Two Wireless On Ear Headphones with 50 Hours Playtime, Low Latency(up to 45ms), 4 Play Modes, Dual Pairing, BT v5.3...",1299,4999,74.01,https://www.amazon.in/dp/B0B1PX62WJ
"Noise Airwave Max 4 Wireless Over Ear Headphones with 70H Playtime, ENC, 40mm Driver, Low Latency(up to 40ms), Dual Pairin...",1699,5999,71.68,https://www.amazon.in/dp/B0CY1PL36Q
"Noise Airwave Max 4 Wireless Over Ear Headphones with 70H Playtime, ENC, 40mm Driver, Low Latency(up to 40ms), Dual Pairin...",1699,5999,71.68,https://www.amazon.in/dp/B0DG5ZVDJX
"Noise Airwave Max 5 Wireless Over-Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playtime, Dual Pairi...",3999,5999,33.34,https://www.amazon.in/dp/B0DGV465ZW
"Noise Airwave Max 5 Wireless Over-Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playtime, Dual Pairi...",3999,5999,33.34,https://www.amazon.in/dp/B0DGV6TB8D
"Noise Airwave Max 3 Bluetooth On Ear Headphones with 70H Playtime, 40mm Driver, Low Latency(up to 45ms),Dual Pairing, BT v...",1699,5499,69.1,https://www.amazon.in/dp/B0CY1Z6WGN
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetoo...",1099,2999,63.35,https://www.amazon.in/dp/B0FC2Y8XYF
"Noise Two Wireless On Ear Headphones with 50 Hours Playtime, Low Latency(up to 45ms), 4 Play Modes, Dual Pairing, BT v5.3...",1299,4999,74.01,https://www.amazon.in/dp/B0B1PW53LT
"Sponsored Ad - ZEBRONICS Duke Plus, Wireless Over Ear Headphone with ANC, ENC, Gaming Mode, Dual Pairing, Rapid Charge, Up...",1399,7999,82.51,https://www.amazon.in/dp/B0D573NP19
"Sponsored Ad - GOBOULT Newly Launched Soniq Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC M...",1799,5999,70.01,https://www.amazon.in/dp/B0F9YV4KDD
"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 Min=200 Min), 13Mm Driver,...",699,3499,80.02,https://www.amazon.in/dp/B09Y5MK1KB
"Noise Airwave Max 4 Wireless Over Ear Headphones with 70H Playtime, ENC, 40mm Driver, Low Latency(up to 40ms), Dual Pairin...",1699,5999,71.68,https://www.amazon.in/dp/B0CY2377YW
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 ...",1187,2490,52.33,https://www.amazon.in/dp/B0F7M3Q8DV
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Ea...",1499,3790,60.45,https://www.amazon.in/dp/B0DGTTKCJX
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cush...",1299,4999,74.01,https://www.amazon.in/dp/B0856HY85J
"Noise Newly Launched Airwave Crest Bluetooth in Ear Neckband with Metallic Shine on Earbuds,50H of Playtime, EQ Modes, Dua...",999,2999,66.69,https://www.amazon.in/dp/B0F9PM86DT
"Noise Newly Launched Airwave Bluetooth in Ear Neckband with 50H of Playtime, 3 EQ Modes, ENC for Calling, Low Latency(Upto...",961,2499,61.54,https://www.amazon.in/dp/B0CMTWPKCJ
