title,price,mrp,discount_percentage,link
"Sponsored Ad - realme GT 7 5G Smartphone 12+256GB Blue, 6.78 inch Screen, 120HZ Curved Vision Display, 7000mAh Battery, 12...",42499,48999,13.27,https://www.amazon.in/dp/B0FB3HHNCK
"Sponsored Ad - realme GT 7T 5G Smartphone 8+256GB Black,6.80 inch Screen, 120Hz Refresh, 7000mAh Battery, 120W Ultra Charg...",34499,39999,13.75,https://www.amazon.in/dp/B0FB3CXFCB
"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assis...",9898,14999,34.01,https://www.amazon.in/dp/B0F9TT7Z5Q
"realme NARZO 80 Lite 4G (Beach Gold, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volum...",6298,8999,30.01,https://www.amazon.in/dp/B0FG2NBVBN
"realme NARZO 80x 5G (Deep Ocean,6GB+128GB) | Dimensity 6400 5G Chipset | 6000mAh Long-Lasting Battery | 45W Fast Charge | ...",11998,15999,25.01,https://www.amazon.in/dp/B0F18Y9YMX
"realme NARZO 80 Lite 4G (Obsidian Black, 6GB+128GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra ...",7198,10999,34.56,https://www.amazon.in/dp/B0FG2PFMG2
"realme NARZO 80x 5G (Sunlit Gold,6GB+128GB) | Dimensity 6400 5G Chipset | 6000mAh Long-Lasting Battery | 45W Fast Charge |...",11998,15999,25.01,https://www.amazon.in/dp/B0F1XMGQSP
"realme NARZO 80 Pro 5G (Nitro Orange,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + ...",19498,25999,25.0,https://www.amazon.in/dp/B0F1DDJTSJ
"realme NARZO 80 Lite 5G (Onyx Black, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | ...",9898,14999,34.01,https://www.amazon.in/dp/B0F9TS623W
"realme NARZO 80 Lite 5G (Crystal Purple, 4GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assis...",8998,13999,35.72,https://www.amazon.in/dp/B0F9TVTWP3
"Sponsored Ad - Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6....",10999,19999,45.0,https://www.amazon.in/dp/B0D78X5CMJ
Sponsored Ad - Redmi Note 14 Pro 5G Champagne Gold 8GB RAM 128GB Storage|50 MP Sony Camera Setup|Corning Gorilla Glass Vic...,21998,28999,24.14,https://www.amazon.in/dp/B0FDVHBXBP
realme C71 Second Hand/Used Phones,6845,8999,23.94,https://www.amazon.in/dp/B0FHM2KCNG
"realme NARZO 80 Lite 4G (Obsidian Black, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra V...",6298,8999,30.01,https://www.amazon.in/dp/B0FG2LPC6K
"realme NARZO 80 Lite 5G (Onyx Black, 4GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | ...",8998,13999,35.72,https://www.amazon.in/dp/B0F9TSLK2L
"realme NARZO 80 Pro 5G (Racing Green,8GB+128GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + ...",17498,23999,27.09,https://www.amazon.in/dp/B0F1DDG97W
"realme Buds T310 True Wireless in-Ear Earbuds with 46dB Hybrid ANC, 360° Spatial Audio, 12.4mm Dynamic Bass Driver, Upto 4...",1698,3999,57.54,https://www.amazon.in/dp/B0DBGP48NW
"realme Buds Wireless 5 ANC in Ear Bluetooth Headphones,50dB ANC, 13.6mm Dynamic Bass Driver,360° Spatial Audio,45ms Low La...",1399,2799,50.02,https://www.amazon.in/dp/B0DNPWJLQC
