title,price,mrp,discount_percentage,link
"Sponsored Ad - Samsung Galaxy M36 5G (Velvet Black, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Go...",13999,22999,39.13,https://www.amazon.in/dp/B0FDBB2VRC
"Sponsored Ad - Samsung Galaxy Z Fold6 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), 50MP High-Res...",103999,164999,36.97,https://www.amazon.in/dp/B0D73TQLFZ
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 2...",6249,9999,37.5,https://www.amazon.in/dp/B0DFY3XCB6
"Samsung Galaxy M06 5G (Sage Green, 4GB RAM, 64GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25...",7499,12499,40.0,https://www.amazon.in/dp/B0F3X54YTF
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| ...",8999,15499,41.94,https://www.amazon.in/dp/B0DX655V11
"Samsung Galaxy A55 5G (Awesome Iceblue, 12GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR ...",28999,48999,40.82,https://www.amazon.in/dp/B0CWPDFBK7
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)",36490,59999,39.18,https://www.amazon.in/dp/B0DHL7YT5S
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Vide...",25999,45999,43.48,https://www.amazon.in/dp/B0CWPBBQ3M
"Samsung Galaxy Tab S11 with AI, S Pen in-Box, 27.8 cm (11 inch) Dynamic AMOLED 2X Display, 12 GB RAM, 256 GB Storage, Wi-F...",85999,102999,16.51,https://www.amazon.in/dp/B0FNWP6NHM
"Samsung Galaxy M36 5G (Serene Green, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Vic...",13999,22999,39.13,https://www.amazon.in/dp/B0FDB9H277
"Sponsored Ad - Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OI...",23999,42999,44.19,https://www.amazon.in/dp/B0CWPC2W5V
"Sponsored Ad - Samsung Galaxy M16 5G (Mint Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+...",11749,17499,32.86,https://www.amazon.in/dp/B0DX798LW2
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR V...",25999,45999,43.48,https://www.amazon.in/dp/B0CWPCFSM3
"Samsung Galaxy M06 5G (Blazing Black, 4GB RAM, 64GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands...",7499,12499,40.0,https://www.amazon.in/dp/B0F3X4R33R
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Gray, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP ...",,,,https://www.amazon.in/dp/B0CS5XW6TN
"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Band...",8999,15499,41.94,https://www.amazon.in/dp/B0DX5R87P8
"Samsung Galaxy M36 5G (Velvet Black, 8 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Vic...",15499,24499,36.74,https://www.amazon.in/dp/B0FDB9ZCTD
"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera...",74999,80999,7.41,https://www.amazon.in/dp/B0DSKNLFBG
"Sponsored Ad - Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (JetBlack, 12GB RAM, 512GB Storage), Ultra Sleek Design...",186999,,,https://www.amazon.in/dp/B0FDL3MWL1
"Sponsored Ad - Samsung Galaxy Z Flip7 FE 5G Smartphone with Galaxy AI (White, 8GB RAM, 128GB Storage), Ultra Sleek Compact...",89999,,,https://www.amazon.in/dp/B0FDL56M5C
"Sponsored Ad - Samsung Galaxy M36 5G (Velvet Black, 8 GB RAM, 256 GB Storage)| Circle to Search| Google Gemini| Corning Go...",17499,27499,36.36,https://www.amazon.in/dp/B0FDB8V6PS
"Sponsored Ad - Samsung Galaxy M16 5G (Blush Pink, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+...",11749,17499,32.86,https://www.amazon.in/dp/B0DX791PX9
"Samsung Galaxy M06 5G (Sage Green, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| ...",7999,13999,42.86,https://www.amazon.in/dp/B0DX6P3RX9
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Vide...",23999,42999,44.19,https://www.amazon.in/dp/B0CWPDH74H
"Samsung Galaxy M06 5G (Blazing Black, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Band...",7999,13999,42.86,https://www.amazon.in/dp/B0DX6S111L
"Samsung Original 25W Type-C Travel Adaptor Without Cable, White",789,1699,53.56,https://www.amazon.in/dp/B0D2R2MXXJ
"Samsung Galaxy A56 5G (Awesome Olive, 12GB, 256GB) | Metal Frame | Gemini Live | Awesome Intelligence (AI): Circle to Sear...",40999,52999,22.64,https://www.amazon.in/dp/B0DYDQ7PDN
"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Icyblue, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera with ...",72990,80999,9.89,https://www.amazon.in/dp/B0DSBVGKVF
"Samsung Galaxy A17 5G (Gray, 6GB RAM, 128GB Storage) | with Travel Adapter | 50 MP No Shake Camera | Gemini Live | Circle ...",18999,21999,13.64,https://www.amazon.in/dp/B0FLHX4FDP
"Samsung Galaxy A06 5G (Black, 6GB RAM, 128GB Storage) | 50MP Dual Camera | 4 Gen OS Upgrades | IP54 Rating | Voice Focus",12499,16999,26.47,https://www.amazon.in/dp/B0DXF16473
"Samsung Galaxy F05 (Twilight Blue, 64 GB) (4 GB RAM)",6549,9999,34.5,https://www.amazon.in/dp/B0DJC2L66N
"Samsung Galaxy A55 5G (Awesome Navy, 12GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Vid...",28999,48999,40.82,https://www.amazon.in/dp/B0CWPD9PTK
"Samsung Galaxy Tab S9 FE [Smartchoice], RAM 6 GB, ROM 128 GB Expandable, S Pen in-Box, Wi-Fi, IP68 Tablet, Gray",26999,44999,40.0,https://www.amazon.in/dp/B0CHZ38BPP
"Samsung Galaxy A36 5G (Awesome Lavender, 8GB, 256GB) | Gemini Live | Awesome Intelligence (AI): Circle to Search, My Filte...",30999,38999,20.51,https://www.amazon.in/dp/B0DYDPZWWV
"Samsung Galaxy Tab S9, S Pen in-Box, 27.81 cm (11 inch) Dynamic AMOLED 2X Display, RAM 8 GB, ROM 128 GB Expandable, Wi-Fi ...",39999,81900,51.16,https://www.amazon.in/dp/B0CCRWTG1S
"Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (JetBlack, 12GB RAM, 256GB Storage), Ultra Sleek Design with 200MP Cam...",174999,,,https://www.amazon.in/dp/B0FDL5K6SV
"Sponsored Ad - Samsung Galaxy Z Flip7 FE 5G Smartphone with Galaxy AI (Black, 8GB RAM, 128GB Storage), Ultra Sleek Compact...",89999,,,https://www.amazon.in/dp/B0FDL3J5SS
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Silverblue, 12GB RAM, 256GB Storage), 200MP Camera, S Pen Included, Lo...",123498,129999,5.0,https://www.amazon.in/dp/B0DSKNKCYX
"Samsung Galaxy A56 5G (Awesome Graphite, 12GB, 256GB) | Metal Frame | Gemini Live | Awesome Intelligence (AI): Circle to S...",40999,52999,22.64,https://www.amazon.in/dp/B0DYDP8ZZK
"Samsung Galaxy Z Fold6 5G Smartphone with Galaxy AI (Navy, 12GB RAM, 256GB Storage), 50MP High-Resolution Camera, Snapdrag...",103999,164999,36.97,https://www.amazon.in/dp/B0D841Z76B
"Samsung Galaxy M36 5G (Orange Haze, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Vict...",13999,22999,39.13,https://www.amazon.in/dp/B0FDB765TN
"Samsung Galaxy A56 5G (Awesome Olive, 8GB, 256GB) | Metal Frame | Gemini Live | Awesome Intelligence (AI): Circle to Searc...",38499,48999,21.43,https://www.amazon.in/dp/B0DYDQ849T
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Whitesilver, 12GB RAM, 512GB Storage), 200MP Camera, S Pen Included, L...",135499,141999,4.58,https://www.amazon.in/dp/B0DSKLSV63
Samsung Galaxy Buds Core (Black) Galaxy AI Enabled in-Ear TWS with ANC | Enriched Bass | 6 Mic Setup | IP54 | 35hrs Batter...,4499,9999,55.01,https://www.amazon.in/dp/B0FDGVNSLH
"Samsung Galaxy A17 5G (Gray, 8GB RAM, 128GB Storage) | with Travel Adapter | 50 MP No Shake Camera | Gemini Live | Circle ...",20499,23499,12.77,https://www.amazon.in/dp/B0FLJVZR6H
"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Di...",10999,19999,45.0,https://www.amazon.in/dp/B0D78X5CMJ
"Samsung Galaxy S24 FE 5G AI Smartphone (Mint, 8GB RAM, 128GB Storage)",29999,59999,50.0,https://www.amazon.in/dp/B0DHL85K81
"Samsung Galaxy S25 5G Smartphone with Galaxy AI (Navy, 12GB RAM, 256GB Storage), Snapdragon 8 Elite, 50 MP Camera with Pro...",74999,80999,7.41,https://www.amazon.in/dp/B0DSKNQ4YR
"Samsung Galaxy A26 5G (Awesome Mint, 8GB, 128GB) | Awesome Intelligence (AI) | Circle to Search | Gemini Live | FHD+ sAMOL...",22999,27999,17.86,https://www.amazon.in/dp/B0DYDMKM5X
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Violet, 12GB, 512GB Storage), Snapdragon 8 Gen 3, 200 M...",,,,https://www.amazon.in/dp/B0CS6JW9YQ
"Samsung Galaxy Z Flip6 5G AI Smartphone (Blue, 12GB RAM, 256GB Storage) with Other Offers",74840,109999,31.96,https://www.amazon.in/dp/B0DH6YSLFX
"Samsung Galaxy A17 5G (Blue, 8GB RAM, 256GB Storage) | with Travel Adapter | 50 MP No Shake Camera | Gemini Live | Circle ...",23499,26499,11.32,https://www.amazon.in/dp/B0FLJ53GJ4
"Sponsored Ad - Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (Blue Shadow, 12GB RAM, 512GB Storage), Ultra Sleek Des...",186999,,,https://www.amazon.in/dp/B0FDL2T146
