title,price,mrp,discount_percentage,link
"Sponsored Ad - Sennheiser ACCENTUM Plus Wireless Over Ear Headphones,German Design,Adaptive ANC,50H Battery,Sound Personal...",12990,19990,35.02,https://www.amazon.in/dp/B0CQKDKPS6
"Sponsored Ad - Sennheiser Momentum 4 Wireless Over Ear Headphones, Free BTD 600 Bluetooth Dongle, ANC, 60h Battery, Custom...",20990,34990,40.01,https://www.amazon.in/dp/B0CCRZPKR1
"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Ch...",7990,14990,46.7,https://www.amazon.in/dp/B0BS1QCFHX
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint C...",3980,5990,33.56,https://www.amazon.in/dp/B0BS1PRC4L
"Sony ULT Wear WH-ULT900N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Massive Bass, Up to 50Hrs Battery-...",13490,24990,46.02,https://www.amazon.in/dp/B0CWVX1GNX
"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Ch...",7990,14990,46.7,https://www.amazon.in/dp/B0BXXPG6FP
"Sony MDR-ZX110A On Ear Stereo Wired Headphones (White), Without Mic",867,1390,37.63,https://www.amazon.in/dp/B00KGZZ824
"Sony WH-1000XM4 Industry Leading Wireless Noise Cancellation Bluetooth Over Ear Headphones with Mic for Phone Calls, 30 Ho...",19980,29990,33.38,https://www.amazon.in/dp/B0863TXGM3
"Sony WH-CH520 Wireless Bluetooth Headphones on Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint C...",3965,5990,33.81,https://www.amazon.in/dp/B0BZPK3XFQ
"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Lif...",24990,34990,28.58,https://www.amazon.in/dp/B09XS7JWHH
"Sponsored Ad - JBL Tune 520BT Wireless On Ear Headphones with Mic, Upto 57H Battery, Speed Charge : 5 Min Charge Gives Up ...",2998,4999,40.03,https://www.amazon.in/dp/B0C3V5X3QT
"Sponsored Ad - JBL Live 770NC True Adaptive Noise Cancellation Headphones Wireless Over Ear, Spatial Sound, 65Hrs Playtim...",7998,14999,46.68,https://www.amazon.in/dp/B0CHMN4KVN
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery-Pink",3989,5990,33.41,https://www.amazon.in/dp/B0F5PX1JVY
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 3...",1499,2790,46.27,https://www.amazon.in/dp/B09YLFHFDW
"Sony WH-CH720N, Wireless Over-Ear Active Noise Cancellation Headphones with Mic, up to 50 Hours Playtime, Multi-Point Conn...",7980,14990,46.76,https://www.amazon.in/dp/B0BS74M665
"Sony WH-CH720N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Up to 35Hrs Battery- Pink",7990,14990,46.7,https://www.amazon.in/dp/B0F5PXSSG6
Sony ZX Series MDR-ZX310AP Wired Headband Stereo On Ear Headset -Blue,899,2190,58.95,https://www.amazon.in/dp/B00K0AMYFO
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint C...",3989,5990,33.41,https://www.amazon.in/dp/B0BS1QB15L
"Sony MDR-EX155AP Wired in Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls and 1 Year W...",209,1290,83.8,https://www.amazon.in/dp/B073JQXC1J
Sony ZX Series MDR-ZX310AP Wired Headband Stereo On Ear Headset -Black,1099,2190,49.82,https://www.amazon.in/dp/B0784BMDRW
"Sponsored Ad - Noise Airwave Max 5 Wireless Over-Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playt...",3999,5999,33.34,https://www.amazon.in/dp/B0DGV6TB8D
"Sponsored Ad - soundcore by Anker Q20i Wireless Bluetooth Over-Ear Headphones with Hybrid Active Noise Cancelling, 40h Pla...",3659,5999,39.01,https://www.amazon.in/dp/B0C3HCD34R
"Sponsored Ad - Sennheiser ACCENTUM Plus Wireless Over Ear Headphones,German Design,Adaptive ANC,50H Battery,Sound Personal...",12990,19990,35.02,https://www.amazon.in/dp/B0CQKFTYW5
"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Lif...",9996,34990,71.43,https://www.amazon.in/dp/B0DGL6R3SX
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 3...",74,2790,97.35,https://www.amazon.in/dp/B09YLCXLKY
"Sony ULT Wear WH-ULT900N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Massive Bass, Up to 50Hrs Battery-...",13390,24990,46.42,https://www.amazon.in/dp/B0D3TMKMYN
"Sony WH-1000XM4 Noise Cancellation Wireless Bluetooth Over-Ear Headphones with Mic, Hi-Res Audio, Up to 30 Hrs Battery- Blue",19980,29990,33.38,https://www.amazon.in/dp/B091CQH6VT
"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Lif...",24990,34990,28.58,https://www.amazon.in/dp/B0BZP2H373
Sony MDR-EX15AP EX Stereo Headphones with Mic (Black),299,890,66.4,https://www.amazon.in/dp/B00ILAA0QU
"Sony ULT Wear WH-ULT900N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Massive Bass, Up to 50Hrs Battery-...",13990,24990,44.02,https://www.amazon.in/dp/B0CWVXTK6Z
"SONY MDR-ZX310AP Black Over-Ear Headphones with Built-in Mic, Lightweight & Foldable Design for Calls, Music & Gaming | Co...",1599,2190,26.99,https://www.amazon.in/dp/B00IKYI6FO
"Sponsored Ad - Sennheiser Momentum 4 Wireless Over Ear Headphones, German Design, ANC, 60h Battery, Customizable Sound, 4 ...",20990,34990,40.01,https://www.amazon.in/dp/B0B6G9TPNQ
"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Lif...",29990,34990,14.29,https://www.amazon.in/dp/B09XSDMT4F
Marshall Major IV Wireless Bluetooth On Ear Headphone with Mic (Black),8999,14999,40.0,https://www.amazon.in/dp/B08KHT2HDT
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Blu...",1994,4449,55.18,https://www.amazon.in/dp/B08QTYYNDN
