title,price,mrp,discount_percentage,link
Sponsored Ad - Redmi Note 14 Pro 5G Titan Black 8GB RAM 256GB Storage|50 MP Sony Camera Setup|Corning Gorilla Glass Victus...,23998,30999,22.58,https://www.amazon.in/dp/B0DQVHCMP2
"Sponsored Ad - Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | ...",10999,19999,45.0,https://www.amazon.in/dp/B0D78X544X
XIAOMI 14 Civi Shadow Black (8GB RAM 256GB Storage) | 50 MP Leica Triple Camera| SD 8s Gen 3 | 1.5K Quad Curved AMOLED Hyp...,25999,54999,52.73,https://www.amazon.in/dp/B0D81JPDKX
XIAOMI 15 White (12GB/512GB)| 50 MP Leica Triple Camera | SD 8 Elite | 1.5K CrystalRes Dynamic 1-120 Hz AMOLED | Hyper AI,64997,79999,18.75,https://www.amazon.in/dp/B0DY7KJTLG
XIAOMI 14 Civi Matcha Green (8GB RAM 256GB Storage) | 50 MP Leica Triple Camera| SD 8s Gen 3 | 1.5K Quad Curved AMOLED Hyp...,25999,54999,52.73,https://www.amazon.in/dp/B0D81K17MT
XIAOMI 14 Civi Cruise Blue (8GB RAM 256GB Storage) | 50 MP Leica Triple Camera| SD 8s Gen 3 | 1.5K Quad Curved AMOLED HyperOS,25999,54999,52.73,https://www.amazon.in/dp/B0D83M6WVX
"Xiaomi Motion Activated Adjustable Brightness LED Intelligent Human Body Sensor With Magnetic Base 2 Night Light For Kids,...",598,699,14.45,https://www.amazon.in/dp/B07ZZNWPWR
Xiaomi 14 Civi Hot Pink (12GB RAM 512GB Storage) | 50 MP Leica Triple Camera| SD 8s Gen 3 | 1.5K Quad Curved AMOLED HyperOS,28999,59999,51.67,https://www.amazon.in/dp/B0F3X4Z41L
"XIAOMI Pad 7 |Qualcomm Snapdragon 7+ Gen 3 |28.35cm(11.16"") Display |12GB, 256GB |3.2K CrystalRes Display |HyperOS 2 |68 B...",27999,37999,26.32,https://www.amazon.in/dp/B0DRYW91S6
"XIAOMI Pad 7 |Qualcomm Snapdragon 7+ Gen 3 |28.35cm(11.16"") Display |8GB, 128GB |3.2K CrystalRes Display |HyperOS 2 |68 Bi...",24999,34999,28.57,https://www.amazon.in/dp/B0DRYWVWSS
"Sponsored Ad - Redmi A5 (Just Black, 4GB RAM 128GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothes...",7498,9999,25.01,https://www.amazon.in/dp/B0F3P58715
