title,price,mrp,discount_percentage,link
"Sponsored Ad - boAt Stone 352 Pro/Stone 358 Pro w/ 14W Signature Sound, Up to 12 Hours Playback, RGB LEDs, TWS Feature, Bu...",1399,139900,99.0,https://www.amazon.in/dp/B0D6W7F7WH
"Sponsored Ad - boAt 2025 Launch Aavante 2.1 2450,240W Signature Sound, 2.1-Channel with Wireless Subwoofer, BT v5.4, Multi...",6649,29990,77.83,https://www.amazon.in/dp/B0FHKMG97C
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Fun...",399,999,60.06,https://www.amazon.in/dp/B07YNV41FT
"boAt Aavante Bar 490 10W Signature Sound, Dual Full-Range Drivers,7 HRS Battery, Built-in Mic,2.0 CH, Free Music Streaming...",899,3490,74.24,https://www.amazon.in/dp/B0CH3G9VR2
Sponsored Ad - Mivi Superbars Cinematic 900W Premium Dolby Home Theatre System [Newly Launch] with Dual Subwoofers soundba...,13999,74999,81.33,https://www.amazon.in/dp/B0F2GQ8YVL
"Sponsored Ad - Mivi Superbars Nova 780 Watts Dolby Audio Home Theatre Speaker [New Launch], 5.1 Channel with Big Woofer, 3...",9499,53999,82.41,https://www.amazon.in/dp/B0F3HQSPDR
Yamaha Musiccast 20 Wit,35500,3550000,99.0,https://www.amazon.in/dp/B07F7CVCYM
EDNITA jbl Ultra Mini Wireless Bluetooth Speaker with Heavy Metal Electroplating Round Speaker | Wireless Power Button Con...,250,1599,84.37,https://www.amazon.in/dp/B0D9R1F7ZP
"Sponsored Ad - Mivi Fort Q26 Soundbar [Newly Launched] with 26W Powerful Audio, 2.0 Channel with Dual Full-Range Speakers,...",1299,129900,99.0,https://www.amazon.in/dp/B0F74T2V2C
"boAt Stone 352/358 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playti...",1199,3490,65.64,https://www.amazon.in/dp/B0BYZ26QGB
"HAMMER Drop 5W Bluetooth Wireless Speaker with Twin Pairing, 1200 mAh Battery, 100H Standby Time, TWS Function, TF Card, U...",594,3499,83.02,https://www.amazon.in/dp/B0D7SLTNZY
"Zebronics Wireless Bluetooth Soundbar, 42 Watts, Upto 7h Playback, Dual 57mm Drivers, Dual Passive Radiators, TWS, Call Fu...",1999,3499,42.87,https://www.amazon.in/dp/B0FM43FR9D
"ZEBRONICS Fame, 2.0 USB Computer Speakers, 5 Watts, USB Powered, AUX, Volume Control Pod for PC, Laptops, Desktop",379,849,55.36,https://www.amazon.in/dp/B07L3NDN24
"ZEBRONICS Igloo 1, 2.0 USB Computer Speakers, 8 Watts, Multicolor LED, USB Powered, AUX, Volume Control Pod for PC, Laptop...",399,799,50.06,https://www.amazon.in/dp/B0DB29X1YX
"Mivi Roam 2 Bluetooth 5W Portable Speaker,24 Hours Playtime,Powerful Bass, Wireless Stereo Speaker with Studio Quality Sou...",699,2999,76.69,https://www.amazon.in/dp/B08PGYLCQB
"boAt Aavante Bar 610, 25W Signature Sound, 2.0 CH with Dual Passive Radiators, 7 HRS Battery, Sleek Design, Multi Connecti...",1449,5990,75.81,https://www.amazon.in/dp/B0BZ4DJ7GZ
"boAt (2025 Stone 110 Bluetooth Speaker with 3W Signature Sound, Up to 15Hrs Playback, Built-in Mic, TWS Feature, Bluetooth...",699,2490,71.93,https://www.amazon.in/dp/B0F48NP2CV
"Portronics SoundDrum 1 12W TWS Portable Bluetooth Speaker with Powerful Bass, Bluetooth 5.3V, 360° Surround Sound, USB Dri...",879,2499,64.83,https://www.amazon.in/dp/B097D69GJ1
"ZEBRONICS Astra 35, Portable Bluetooth Speaker, 16 Watts, Upto 8h Backup, Dual Drivers + Dual Passive Radiators, Call Func...",699,1899,63.19,https://www.amazon.in/dp/B0DJ3FFC8R
