title,price,mrp,discount_percentage,link
"Sponsored Ad - Samsung Galaxy Tab S9 FE [Smartchoice], RAM 6 GB, ROM 128 GB Expandable, S Pen in-Box, Wi-Fi, IP68 Tablet, ...",26999,44999,40.0,https://www.amazon.in/dp/B0CHZ38BPP
"Sponsored Ad - Lenovo {Smartchoice} Idea Tab Pro with Pen Plus|12.7"" 3K Display|144 Hz Refresh|12 GB RAM, 256 GB ROM| AI-E...",25990,48999,46.96,https://www.amazon.in/dp/B0DZCB3G9Q
Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),160,399,59.9,https://www.amazon.in/dp/B07PLHTTB4
Besite Toys 8. 5 Inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),199,999,80.08,https://www.amazon.in/dp/B0CZHTYQ45
"Sponsored Ad - Lenovo Idea Tab Smartchoice with Pen|5G + Wi-Fi|11 Inch,2.5K Display, 500 Nits Brightness|8GB RAM + 256GB R...",18990,25000,24.04,https://www.amazon.in/dp/B0FJG2TL3C
"Sponsored Ad - Lenovo Yoga Tab Plus Smartchoice AI Tablet with Pen + Keyboard |12.7"" Display, 3K Resolution, 144 Hz|16GB R...",47990,89000,46.08,https://www.amazon.in/dp/B0FCRJ984R
"Portronics MODESK Universal Mobile Holder Stand with Metal Body, Anti Skid Design, Light Weight for All Smartphones, Table...",119,699,82.98,https://www.amazon.in/dp/B07N8RQ6W7
Toy Imagine LCD Writing Tablet for Kids – 8.5 Inch Digital Slate Pad for Drawing & Writing | Rewritable LCD Board for Kids...,118,249,52.61,https://www.amazon.in/dp/B0CFR5SPG2
"Sponsored Ad - Lenovo {Smartchoice) Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 256 GB ROM| 11.5 Inch, 2K, 90 Hz Refr...",16990,34000,50.03,https://www.amazon.in/dp/B0D6G4SKGK
"Portronics Clean M Multifunctional 8-in-1 Gadget Cleaning Kit with Mobile Holder for Smartphone, Tablet, Laptop, Earbuds(W...",349,899,61.18,https://www.amazon.in/dp/B0BRNGSH13
"Tukzer Laptop Screen Keyboard Cleaner Kit, 32-in-1 Electronic Gadget Cleaning Tool with SD Card Storage Slot for MacBook, ...",664,1999,66.78,https://www.amazon.in/dp/B0DGQM6GGY
"TVARA LCD Writing Tablet 8.5 Inch E-Note Pad LCD Writing Tablet, Kids Drawing Pad 8.5 Inch Doodle Board, Toddler Boy and G...",139,600,76.83,https://www.amazon.in/dp/B08WD18LJZ
"FunBlast Writing Tablet Pencil Case for Kids – 2 in 1 LCD Digital Slate for Kids, E-Note Pad, Pencil Box for Kid, Doodle W...",366,699,47.64,https://www.amazon.in/dp/B0DKXMVXH5
"Klenzmo by Kleenest 3-in-1 Gadget Cleaning Kit with Screen Cleaner Spray, Soft Brush & Premium Microfiber Cloth – Ideal fo...",229,349,34.38,https://www.amazon.in/dp/B0D8L8PQRF
WOPPCART Writing Pad/Tablet/Tab Portable Android 6.0 Marshmallow 8.5 inches LCD E-Writer Electronic Paperless Digital LCD ...,269,599,55.09,https://www.amazon.in/dp/B0CD1ZJ58F
Elfora 7 in 1 Electronic Cleaner kit | Cleaning Kit for iPad | iPhone | Airpods | Monitor Screen | Keyboard | Dust Brush I...,249,499,50.1,https://www.amazon.in/dp/B0DJH1RF2L
"Laptop Stand, Tablet Stand, Mobile, and Power Bank, All in One Multi Device Charging Station and Organizer, Wooden Vertica...",474,999,52.55,https://www.amazon.in/dp/B0D5BHBSJQ
"STRIFF Professional 3-in-1 Laptop Cleaning kit, Laptop Cleaner, Screen Cleaner, Mobile Cleaning kit, Cleaning Kit for Came...",109,599,81.8,https://www.amazon.in/dp/B0CVB5K3DL
"OnePlus Pad Lite with Biggest Battery in Segment 9340 mAh, Massive 11"" (27.94 cm) Display with 500 nits Brightness & 11 Ho...",13999,19999,30.0,https://www.amazon.in/dp/B0FHWWDRRM
"Xerostain Premium Gadget Cleaning Spray Kit with Microfibre Cloth and 5-in-1 Brush (100 ml) | Effective for Camera, Binocu...",249,499,50.1,https://www.amazon.in/dp/B0FCRHB6VR
"NISHTECH All in One 60W USB Fast Charging Travel Cable Set Type C, Lightening and Micro USB Port Inbuilt Mobile Stand Comp...",185,699,73.53,https://www.amazon.in/dp/B0F49KDW75
"Tukzer Multifunctional 21 in 1 Electronic Gadget Cleaning Kit, Air Blower, 2.5ml Mist Spray, Key Puller, Long Brushes for ...",479,1499,68.05,https://www.amazon.in/dp/B0DWFW3Q3D
"Tukzer 62 in 1 Precision Screwdriver Set, Electronics & Household Repair Tool Kit with Magnetic Steel Bits, Extension Rod,...",599,59900,99.0,https://www.amazon.in/dp/B0F2N9CF4B
"Sponsored Ad - Baatu Enable Tablet - Parental Control Tab for Kids (10.1 inch) | Screen Time Monitor, App Blocker, Content...",7046,15999,55.96,https://www.amazon.in/dp/B0CKLCYJFB
"Noise Power Series 100W Braided 4-in-1 Multi Cable, 1M, Fast Charge | USB-C USB-A Lightning Cable for iPhones 15+, Android...",799,1299,38.49,https://www.amazon.in/dp/B0F4437JFH
"BUILDSKILL 12 Pieces Precision Screwdriver Set | CR-V Shaft | Non Slip Soft Grip | Magnetic Tip | Electronics, Tablet, Cel...",299,1049,71.5,https://www.amazon.in/dp/B0D9JR9FTD
Sponsored Ad - Wacom CTL-472/K0-CX Digital Drawing Graphics Pen Tablet (Red & Black) Small (6-inch x 3.5-inch)(15x8cm) | B...,2749,4699,41.5,https://www.amazon.in/dp/B078HRR1XV
"Sponsored Ad - Lenovo Yoga Tab Plus Smartchoice AI Tablet with Pen+Keyboard |12.7"" Display, 3K Resolution, 144 Hz|16GB RA...",44990,79000,43.05,https://www.amazon.in/dp/B0FCR8HZVF
"Tukzer Multi-functional 18-in-1 Smart Cleaning Kit Tool Set| Cleaning Pen, Spray, Super Fiber Cloth, Brush, Key Puller for...",403,1499,73.12,https://www.amazon.in/dp/B0CBSH29B9
MODERN IN Adjustable and Foldable Desktop Phone Holder Stand for Phones Compatible with All Mobile Phone/iPad/Tablets for ...,249,1299,80.83,https://www.amazon.in/dp/B08VRYQT31
Sponsored Ad - Huion H430P OSU Graphics Drawing Tablet with Battery-Free Stylus 4.8x3 inch Working Area 4 Press Keys Suppo...,1883,5399,65.12,https://www.amazon.in/dp/B07R8PYGWN
"Noise Power Series 100W Magnetic Braided 4-in-1 Cable, 1M, Fast Charge | USB-C USB-A Lightning Multi Cable for iPhones 1...",1099,1499,26.68,https://www.amazon.in/dp/B0F442B92L
Lifelong Electronics 10000mAh Slim Compact Power Bank | in-Built Type C & Lightning Cable | Type C Input | Digital Display...,1299,2999,56.69,https://www.amazon.in/dp/B0DRCPY2VK
"Sounce 4-in-1 Multi-Port OTG Adapter with Lightning, Type-C, Micro USB & USB 3.0 – Universal Connector for iOS 13 & Above,...",359,1299,72.36,https://www.amazon.in/dp/B0F3PF4MC3
"Samsung Galaxy Tab S9 FE [Smartchoice], S Pen in-Box, RAM 6 GB, ROM 128 GB Expandable, Wi-Fi, IP68 Tablet, Silver",26999,,,https://www.amazon.in/dp/B0CHZ2X647
"Tukzer Laptop Screen Keyboard Cleaner Kit, 20-in-1 Electronic Gadget Cleaning Tool, 2.5ml Mist Spray, Pen Brush, Air Blowe...",519,1999,74.04,https://www.amazon.in/dp/B0CFVQTD2S
"BLAXSTOC DC-787 Foldable Mobile Tabletop Stand Adjustable Phone Holder and iPad Stand & For Bed , Table, Office, Video Rec...",99,999,90.09,https://www.amazon.in/dp/B09SV5HMY3
"SUPER TOY 8.5 Inch LCD Writing Pad, Handwriting Tablet, Drawing & Note Taking Pad for Kids, Reusable Digital Notepad for L...",199,1499,86.72,https://www.amazon.in/dp/B07Z7QDH3D
amazon basics Writing Tablet with 8.5-inch rainbow colour LCD screen and Stylus Pen for Kids & Adults (Orange),229,899,74.53,https://www.amazon.in/dp/B0BVM9TKXS
Sixfire 18 in 1 Gadget Cleaner Kit for Smartphones Tablets Mobiles Computer - Laptop Cleaning Kit for Screen Keyboard Elec...,499,999,50.05,https://www.amazon.in/dp/B0DN9T727M
